Nº,Autor,Título,Editorial,ISBN
661," Lema, Martín",Guerra biológica y bioterrorismo," Argentina : Ed. Siglo Veintiuno, 2012 ; il. ; 135 p. ; 19 cm.",ISBN : 978-987-1220-68-7
662," Paenza, Adrián",Matemática … ¿estás ahí?," Argentina : Ed. Siglo Veintiuno, 2012 ; il. ; 255 p. ; 19 cm.",ISBN : 978-987-629-065-4
663," Gello, Gabriel",El huevo y la gallina manual de instrucciones para construir un animal," Argentina : ed. Siglo Veintiuno, 2011 ; il. ; 127 p. ; 19 cm.",ISBN : 978-987-1105-70-0  
664," Mindlin, Gabriel",Causas y azares la historia del caos y de los sitemas complejos,"Argentina : Ed. Siglo Veintiuno, 2012 ; il. ; 124 p. ; 19 cm.",ISBN : 978-987-629-037-1
665," Calcagno, Javier - Lovrich, Gustavo",El mar hizo falta tanta agua para disolver tanta sal," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 134 p. ; 19 cm.",ISBN : 978-987-1220-97-0
666," Alzogaray, Raúl",El elixir de la muerte y otras historias con veneno," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 127 p. ; 19 cm.",ISBN : 978-987-1220-91-5
667," Cappozzo, Luis",Agua salada y sangre caliente historias de mamíferos marinos," Argentina : Ed. Siglo Veintiuno, 2012 ; il. ; 125 p. ; 19 cm.",ISBN : 978-987-1220-49-6
668," Schávelzon, Daniel - Igareta, Ana",Viejos son los trapos,"de arqueología, ciudades y cosas que hay debajo de los pisos"," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 123 p. ; 19 cm."
669," Kreimer, Pablo",El científico también es un ser humano,ciencia bajo la lupa," Argentina : Ed. Siglo Veintiuno, 2011 ; il. ; 141p. ; 19 cm."
670," De Ambrosio, Martín",El mejor amigo de la ciencia historias con perros y científicos," Argentina : Ed. Siglo Veintiuno, 2012 ; 110 p. ; 19 cm.",ISBN : 978-987-1105-90-8
671," Delicia, Pablo Javier",Un pesado barrilete… la razón," Argentina : Ed. Entre Ríos,2012 ; il. ; 140 p. ; 20 cm.",ISBN : 978-987-05-8905-1
672, Pequeños Clásicos,El patito feo," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1665-6
673, Pequeños Clásicos,Gulliver en el país de los enanos," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1739-4
674, Pequeños Clásicos,El Sastrecillo valiente," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISVN : 978-950-11-1735-6
675, Pequeños Clásicos,El gato con botas," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1660-1
676,El gato con botas," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1660-1,nan
677," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1660-1,nan,nan
678, CLASICOS Baby,Blancanieves y los siete enanitos," Argentia : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-066-1
679, Pequeños Clásicos,Blancanieves y los siete enenitos," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 CM.",ISBN : 978-950-11-1661-8
680, Pequeños Clásicos,El Traje del Emperador," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1734-9
681,El Traje del Emperador," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1734-9,nan
682," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1734-9,nan,nan
683, Pequeños Clásicos,La Bella Durmiente," Argentina : Ed. SIGMAR, 2009  , il. ; 13 cm.",ISBN : 978-950-11-1663-2
684,La Bella Durmiente," Argentina : Ed. SIGMAR, 2009  , il. ; 13 cm.",ISBN : 978-950-11-1663-2,nan
685," Argentina : Ed. SIGMAR, 2009  , il. ; 13 cm.",ISBN : 978-950-11-1663-2,nan,nan
686, CLASICOS Baby,Peter Pan y el país de nunca jamás," Argentina : Ed. Aretemisa, 2011 ; il. ; 8p. ; 13 cm",ISBN : 978-987-674-064-7
687,Peter Pan y el país de nunca jamás," Argentina : Ed. Aretemisa, 2011 ; il. ; 8p. ; 13 cm",ISBN : 978-987-674-064-7,nan
688, Pequeños Clásicos,Peter Pan," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1733-2
689, Pequeños Clásicos,Hansel y Gretel," Argentina : Ed- SIGMAR, 2009 ; il. ; 13 cm",ISBN : 978-950-11-1664-9
690, Pequeños Clásicos,Caperucita Roja," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1658-8
691,Caperucita Roja," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1658-8,nan
692," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1658-8,nan,nan
693,ISBN : 978-950-11-1658-8,nan,nan, CLASICOS Baby
694, CLASICOS Baby,El soldadito de plomo," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-061-6
695,El soldadito de plomo," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-061-6,nan
696," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-061-6,nan,nan
697,ISBN : 978-987-674-061-6,nan,nan, CLASICOS Baby
698, CLASICOS Baby,Aladino," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-068-5
699,Aladino," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-068-5,nan
700," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-068-5,nan,nan
701,ISBN : 978-987-674-068-5,nan,nan,nan
702,nan,nan,nan, CLASICOS Baby
703, CLASICOS Baby,La Bella y La Bestia," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-067-8
704,La Bella y La Bestia," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-067-8,nan
705, CLASICOS Baby,Las aventuras de Pinocho," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-063-0
706,Las aventuras de Pinocho," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-063-0,nan
707," Argentina : Ed. Artemisa, 2011 ; il. ; 8 p. ; 13 cm.",ISBN : 978-987-674-063-0,nan,nan
708, Pequeños Clásicos,Pinocho," Argentina : Ed. SIGMAR, 2009 ; il. ; 13 cm.",ISBN : 978-950-11-1662-5
709," Oesterheld, Héctor G. - Solano López, Francisco",El Eternauta. La Historia original ,"Argentina : Ed. DOEDYTORES, 2008 ; il. ; 351 p. ; 13  cm.",ISBN : 978-987-985-33-2
710, Otro Río Que Pasa,Un siglo de poesía Argentina Contemporánea,"Argentina : Ed. BAJOLALUNA, 2010  ; 294 p. ; 19 cm.",ISBN : 978-987-183-2-6
711, CLASICOS Baby,La Bella y La Bestia," Argentina : Ed. Artemisa,2011 ; il. ; 8 p. 16 cm.",ISBN : 978-987-674-067-8
712," Fisher, Robert",El caballero de la armadura oxidada," Argentina : Ed. OBELISCO, 2011 ; il. ; 107 p. 20 cm",ISBN : 978-84-9777-230-3
713," Quiroga, Horacio",El almohadoón de plumas y otros cuentos," Argentina : Ed. ALFAGUARA, 2009 ; 174 p. ; 21 cm.",ISBN : 978-987-07-0462-1
714," Conrad, Joseph",El corazón de las tinieblas," Argentina : Ed. ALFAGUARA, 2009 ; 157p. ; 21 cm.",ISBN : 978-987-07-0468-3
715," Tzu, Sun",El arte de la guerra," Argentina : Ed. BEEME, 2008 ; 79 p. ; 19 cm.",ISBN : 978-987-24256-6-1
716," Poe, Edgar Allan",El gato negro : el escarabajo de oro," Argentina : Ed. BEEME, 2009 ; 95 P. ; 19 cm.",ISBN : 978-987-1530-42-7
717," Shakespeare, William",Romeo y Julieta," Argentina : Ed. BEEME, 2008 ; 109 P. ; 19 cm.",ISBN : 978-987-24383-1-9
718," Kafka, Franz",Metamorfosis," Argentina : Ed. BEEME, 2008 ; 79 P. ; 19 cm.",ISBN : 978-987-24256-4-7
719," Shelley, Mary W.",Frankestein," Argentina : Ed. BEEME, 2010 ; 185 P. ; 19 cm.",ISBN : 978-987-1594-96-2
720, LATINBOOKS Internacional,El mundo submarino: Historias con dos finales," Uruguay : Ed. LATINBOOKS, 2010 ; il. ; 20 p. ; 27 cm.",ISBN : 978-9974-684-32-4
721, LATINBOOKS Internacional,Los tres monstruos: Historias con dos finales ," Uruguay : Ed LATINBOOKS, 2010 ; il. ; 20 p. ; 27 cm.",ISBN : 978-9974-684-29-4
722, LATINBOOKS Internacional,Tum y el dragón de fuego," Uruguay : Ed. LATINBOOKS, 2010 ; il. ; 20 p. ; 27 cm.",ISBN : 978-9974-684-31-7
723," Loza, Cristina",La hora del lobo," Argentina : Ed. Emecé, 2008 ; 345 p. ; 23 cm.",ISBN : 978-950-04-3072-5
724," Zicolillo, Jorge",Damasita Boedo y el enigma de la muierte de Lavalle," Argentina ; Ed. Sudaméricana, 2002 ; 191 p. ; 22 cm.",ISBN : 950-07-2198-8
725," King, Susan",El don de Michaelmas," España : Ed. URANO, 2006 ; 336 P. ; 22 CM.",ISBN : 84-7953-295-5
726," Lapierre, Dominique - Moro Javier",Era medianoche en Bhopal,"Argentina  : Ed. Planta, 2001 ; il. ; 419 p. ; 22 cm.",ISBN : 84-08-03845-1
727," Morales Solá, Joaquín",El sueño eterno Ascenso y caída de la Alianza," Argentina : Ed. Planeta, 2001 ; 297 p. ; 22 cm.",ISBN : 950-49-0927-2
728," Scott Chessman, Harriet",Lydia Cassat leyendo el periódico matinal," España : Ed. B S. A., 2003 ; il. ; 215 p. ; 22 cm.",ISBN : 84-666-1067-7
729," Swann, Maxime",Chicas serias," Argentina : Ed. Emecé, 2005 ; 254 p. ; 22 cm.",ISBN : 950-04-2642-0
730," Orgambide, Pedro",El Páramo," Argentina : Ed. Ameghino, 1999 ; 219 p. ; 22 cm.",ISBN : 987-9216-70-9
731," VILLEGAS, Bertraud",La Perricholi Una reina para Lima   ," España : Ed. Sudamericana, 1999 ; 319 p. ; 22 cm.",ISBN : 950-07-1489-2
732," Shua, Ana María",Soy Paciente," Argentina : Ed. Sudamericana, 1996 ; 134 p. ; 21 cm.",ISBN : 950-07-1163-X
733," Keyes, Marian",Maggie ve la luz," Argentina : Ed. Sudamericana, 2006 ; 398 p. 18 cm.",ISBN : 987-566-141-4
734," Cabrea, Ana María",Cristián Demaría más allá de Felicitas," Argentina : Ed. Sudamaericana, 2000 ; 162 p. ; 22 cm.",ISBN : 950-07-1743-3
735," Vigil, Mercedes","Matilde, la mujer de Batlle","Argentina : Ed. Planeta, 2003 ; 283 p. ; 22 cm.",ISBN : 950-49-1095-5
736," Van Bredan, Orlando",Teoría del desamparo," Argentina : Ed. Emecé, 2007 ; 211 p. ; 22 cm.",ISBN : 978-930-04-2923-8
737," Bonelli, Florencia",Indias Blancas," Argentina : Ed. Plaza & Jané, 2006 ; 445 p. ; 22 cm.",ISBN : 950-644-065-4
738," Binchi, Maeve",Enciende un vela," Argentina : Ed. Emecé, 2000 ; 365 p. ; 22 cm.",ISBN : 950-04-2138-0
739," Bverley, Jo",Atrevida," España : Ed. Urano, 1999 ; 357p. ; 22 cm.",ISBN : 84-7953-294-7
740," Binelli, Florencia",Indias Blancas La vuelta del ranquel," Argentina : Ed. Plaza & Janés, 2005 ; 427 p. ; 22 cm.",ISBN : 930-644-072-7
741," Tademy, Lalita",El ábol de Emily," España : Ed. Diagonal, 2002 ; 492 p. ; 23 cm.",ISBN : 84-95808-90-0
742," Caparrós, Martín",Un día en la vida de Dios," Argentina : Ed. Booket, 2007 ; 314 p. ; 18 cm.",ISBN : 978-987-580-227-8
743," Haynes, Melinda",Madreperla," España : Ed. Ediciones B, 2000 ; 506 p. ; 24 cm.",ISBN : 84-406-9927-4
744," Hobhouse, janet",The furies," EEUU : Ed. Simon & Schuster, 1993 ; 344 p. ; 19 cm.",ISBN : 0-671-71813-4
745," Ruiz Zafón, Carlos",La sombra del viento," Argentina : Ed. Planeta, 2004 ; 478 p. ; 22 cm.",ISBN : 950-49-1036-X
746," Alcántara, Nelida",Brotes del alma," Argentina : Ed. Grupo Brotes, 2010 ; 128 p. ; 20 cm.",ISBN  978-987-2557-1-0
747," McLarty, Ron",Una historia en bicicleta," Argentina : Ed. ALFAGUARA, 2009 ; 446 p. ; 22 cm.",ISBN : 987-04-0447-2
748," Vargas Llosa, Mario",Travesuras de la niña mala,"Argentina : Ed. ALFAGUARA, 2006 ; 375 p. ; 22 cm.",ISBN : 987-04-0398-0
749," Sevilla, Ariel - Sevilla, Fabián",La Vendimia para ver, Argentina : Ed. Turismo y Cultura de mendoza,                      il. ; 167 p. 25 cm.
750," Allende, Isabel",El reino del dragón de oro," Argentina : Ed. Sudamericana, 2004 ; 332 p. ; 20 cm.",ISBN : 950-07-2481-2
751,"Montero, Rosa",La hija del caníbal," España : Ed. Espasa, 1997 ; 359 p. ; 18 cm.",ISBN : 84-239-7669-6
752," Ullmann, Linn",Antes de que te duermas," Argentina : Ed. Grijalbo, 2001 ; 315 p. ; 17 cm.",ISBN : 84-397-0684-7
753," Dario, Ruben ",Antoligía poética," Argentina : Ed. Orbis, 1982 ; 235 p. ; 18 cm. ",ISBN : 950-614-048-0
754," Dumas, Alejandro",La dama de las camelias," Argentina : Ed. Orbis, 1982 ; 249 p. ; 18 cm.",ISBN : 950-614-345-5
755," Bernstein, Gustavo",La Patria peregrina," Argentina : Ed. Emecé, 2001 ; 323 p. ; 21 cm.",ISBN : 950-04-2244-1
756," Bianchy, Maeve",Escuela de ilusiones," Argentina : Ed. Emecé, 1999 ; 429 p. ; 22 cm.",ISBN : 950-04-1982-3
757," Segal, Erich",Actos de fe," Argentina : Ed. Planta, 1992 ; 431 p. ; 21 cm.",ISBN : 950-742-219-6
758," Allende, Isabel",La suma de los días," Argentina : Ed. Sudamericanna,2007 ; 361 p. ; 24 cm.",ISBN :978-950-07-2859-1
759," Eco, Humberto",Confesiones de un joven novelista," Argentina : Ed. Sudamericana, 2012 ; 221 p. ; 18 cm.",ISBN : 978-950-07-4007-4
760," Eco, Humberto",El nombre de la rosa," Argentina : Ed. Sudamericana, 2012 ; 505 p. ; 18 cm.",ISBN : 978-950-07-4006-7
761," Eco, Humberto",Nadie acabará con los libros," Argentina : Ed. Sudamericana, 2012 ; 241 p. ; 18 cm.",ISBN : 978-950-07-4008-1
762," Delicia, Pablo ",Bio da para todo… y para todos," Argentina : Oro Verde, 2012 ; il. ; 98 p. ; 20 cm.",ISBN : 978-987-33-1911-2
763," Janes, Roe",Los 100 cuentos mas bellos del mundo," Argentina : Ed. SIGMAR, 2011 ; il. ; 69 p. ; 28 cm.",ISBN : 978-95011-0638-1
764," Andreone, Aidé",Cuentos para ir a dormir y soñar," Argentina : Ed. Guadal, 2007 ; il. ; 37 p. ; 27 cm.",ISBN : 978-987-679-572-3
765, ELEFANTINO,El universo de mis princesas," Argentina : Ed. BEEME, 2011 ; il. ; 43 p. ; 27 cm.",ISBN : 978-987-669-169-7
766," Vaccarini, Franco",El mágico mundo de las hechiceras," Uruguay : Latinbooks, 2009 ; il. ; 55 p. ; 34 cm.",ISBN : 978-9974-684-34-8
767," Eco, Humberto",El péndulo de Foucault  1," Argentina : Ed. Sudamericana, 2012 ; 413 p. ; 18 cm.",ISBN : 978-950-07-4009-8
768," Eco, Humberto",El péndulo de Foucault  2," Argentina : Ed. Sudamericana, 2012 ; 412 p. ; 18 cm.",ISBN : 978-950-07-4010-4
769,"  Eco, Humberto",A paso de cangrejo," Argentina : Ed. Sudamericana, 2012 ; 387 p. ; 18 cm.",ISBN : 978-950-07-4014-2
770," Eco, Humberto",La estructura aucente," Argentina : Ed. Sudamericana, 2012 ; 511 p. ; 18 cm.",ISBN : 978-950-07-4021-0
771," Eco, Humberto",Lector in fabula, Aregentina : Ed. Sudamericana. 2012 ; 313 P. ; 18 CM.,ISBN : 978-950-07-4020-3
772," Eco, Humberto",La misteriosa llam de la Reina Loana," Argentina : Ed. Sudamericana, 2012 ; 503 p. ; 18 cm.",ISBN : 978-950-07-4015-9
773," Eco, Humberto",El cementerio de Praga," Argentina : Ed. Sudamericana, 2012 ; 584 p. ; 18 cm.",ISBN : 978-950-07-40128
774," Eco, Humberto",Sobre Literatura," Argentina : Ed. Sudamericana, 2012 ; 346 p. ; 18 cm.",ISBN : 978-950-07-4013-5
775," Eco, Humberto",Baudolino 1," Argentina : Ed. Sudamericana, 2013 ; 277 ; 18 cm.",ISBN : 978-950-07-4018-0
776," Eco, Humberto",La Isla del día de antes, Argentina : Ed. Sudamericana; 2013 ; 588 p. ; 18 cm.,ISBN : 978-950-07-4017-3
777," Eco,Humberto",Apocalipticos e integrados," Argentina : Ed. Sudamericana, 2013 ; 431 p. ; 18 cm",ISBN : 978-950-07-4016-6
778," Eco, Humberto",Baudolino 2," Argentina : Ed. Sudemaricana, 2013 ; 259 p. ; 18 cm.",ISBN : 978-950-07-4019-7
779," Eco, Humberto",Decir casi lo mismo," Argentina : Ed. Sudemaricana, 2013 ; 542 p. ; 18 cm.",ISBN : 978-950-07-4177-4
780," Eco, Humberto",Cinco escritos morales," Argentina : Ed. Sudemaricana, 2012 ; 138 p. ; 18 cm.",ISBN : 978-950-4011-1
781," Eco, Humberto",Arte y belleza en la estética medieval," Argentina : Ed. Sudemaricana, 2013 ; 265 p. ; 18 cm.",ISBN : 978-980-07-4178-1
782," Eco, Humberto",Construir al enemigo ," Argentina : Ed. Sudamericana, 2013 ; 319 p- ; 18 cm.",ISBN : 978-950-07-4181-1
783," Eco, Humberto",De los espejos y otros ensayos," Argentina : Ed. Sudemericana, 2013 ; 461 p. ; 18 cm.",ISBN : 978-950-07-4182-8
784, De Santis,Lucas Lens y el museo," Argentina : Ed. ALFAGUARA, 2012 ; il. ; 93 p. ; 19 cm.",ISBN : 978-987-04-0063-9
785, Walsh Maria Elena,El reino del revés," Argentina : Ed. ALFAGUARA, 2013 ; il. ; 86 p. ; 27 cm.",ISBN : 978-987-04-0178-0
786,Walsh María Elena,Cuentopos de Gulubú," Argentina : Ed. ALFAGUARA, 2013 ; il. ; 94 p. ; 27 cm.",ISBN : 978-987-04-0181-0
787, Walsh  María Elena,Dailan Kifki," Argentina : Ed. Alfaguara, 2013 ; il. ; 183 p. ; 27 cm.",ISBN : 978-987-04-0177-3
788," Eco, Humberto",La estrategia de la ilusión," Argentina : Ed. Sudamericana, 2013 ; 367 p. ; 18 cm.",ISBN : 978-950-07-4183-5
789," Eco, Humberto",Entre mentira e ironía," Argentina : Ed. Sudamericana, 2013 ; 128 p. 18 cm.",ISBN : 978-980-07-4184-2
790," Eco, Humberto",Segundo diario mínimo," Argentina : Ed. Sudamericana, 2013 ; 323 p. 18 cm.",ISBN : 978-950-07-4186-6
791," Walsh, María Elena",Zoo loco," Argentina : Ed. Alfaguara, 2013 ; il. ; 69 p. ; 27 cm. ",ISBN : 978-987-04-0173-5
792," Eco, Humberto",Kant y el ornitorrinco," Argentina : Ed. Sudamericana, 2013 ; 459 p. ; 18 cm.",ISBN : 978-950-07-4185-9
793," Eco, Humberto",El superhombre de masas," Argentina : Ed. Sudemaricana, 2013 : 220 p. ; 18 cm.",ISBN : 978-950-07-4187-3
794," García Márquez, Gabriel",Cien años de soledad," Argentina : Ed. Sudamericana, 2009 ; 494 p. ; 18 cm.",ISBN : 987-1138-14-8
795," Miguens, Silvia",Ana y el Virrey," Argentina : Ed. Sudamericana, 2006 ; 254 p. ; 18 cm.",ISBN : 987-566-106-6
796," Rulfo, Juan",Pedro Páramo el llano en llamas," Argentina : Ed. Booket, 2008 ; 316 p. ; 18 cm.",ISBN : 978-987-580-162-2
797,"  Roa Bastos, Augusto",Yo el Supremo," España : Ed. RBA Editores, 1993 ; 511 p. ; 21 cm.",ISBN : 84-473-0205-9
798," Walsh, Rodolfo  J.",¿Quién mató a Rosendo?," Argentina : Ed. De la Flor, 2011 ; 171 p. ; 19 cm.",ISBN : 978-950-515-353-4
799," Escuedero, Laura",El rastro de la sepiente," Argentina : Ediciones SM, 2011 ; 183 p ; 18 cm.",ISBN : 978-987-573-570-5
800,El rastro de la sepiente," Argentina : Ediciones SM, 2011 ; 183 p ; 18 cm.",ISBN : 978-987-573-570-5,nan
801," Argentina : Ediciones SM, 2011 ; 183 p ; 18 cm.",ISBN : 978-987-573-570-5,nan,nan
801,ISBN : 978-987-573-570-5,nan,nan,nan
803,nan,nan,nan," Martínez Sccardi, Fabián"
804," Martínez Sccardi, Fabián",Patagonia iluminada," Argentina : Ediciones SM, 2012 ; 195 p. 19 cm. ",ISBN : 978--987-573-671-9
805,Patagonia iluminada," Argentina : Ediciones SM, 2012 ; 195 p. 19 cm. ",ISBN : 978--987-573-671-9,nan
806," Argentina : Ediciones SM, 2012 ; 195 p. 19 cm. ",ISBN : 978--987-573-671-9,nan,nan
807,ISBN : 978--987-573-671-9,nan,nan,nan
808,nan,nan,nan," Helguera, Magdalena"
809," Helguera, Magdalena",Con tigo de la mano," Argentina : Ediciones SM, 2011 ; il. ; 139 p. ; 19 cm.",ISBN : 978-987-573-571-2
810,Con tigo de la mano," Argentina : Ediciones SM, 2011 ; il. ; 139 p. ; 19 cm.",ISBN : 978-987-573-571-2,nan
811," Argentina : Ediciones SM, 2011 ; il. ; 139 p. ; 19 cm.",ISBN : 978-987-573-571-2,nan,nan
812,ISBN : 978-987-573-571-2,nan,nan,nan
813,nan,nan,nan," Pescetti, Luis María"
814," Pescetti, Luis María",Frin," Argentina : Ed. ALFAGUARA, 2013 ; 203 P. ; 19 cm.",ISBN : 978-987-04-0069-1
815,Frin," Argentina : Ed. ALFAGUARA, 2013 ; 203 P. ; 19 cm.",ISBN : 978-987-04-0069-1,nan
816," Argentina : Ed. ALFAGUARA, 2013 ; 203 P. ; 19 cm.",ISBN : 978-987-04-0069-1,nan,nan
817,ISBN : 978-987-04-0069-1,nan,nan,nan
818,nan,nan,nan," Escudero, Laura"
819," Escudero, Laura",Heredé un fantasma," Argentina : Ediciones SM, 2005 ; 174 p. ; 18 cm. ",ISBN : 978-987-573-020-5
820,Heredé un fantasma," Argentina : Ediciones SM, 2005 ; 174 p. ; 18 cm. ",ISBN : 978-987-573-020-5,nan
821," Argentina : Ediciones SM, 2005 ; 174 p. ; 18 cm. ",ISBN : 978-987-573-020-5,nan,nan
822,ISBN : 978-987-573-020-5,nan,nan,nan
823,nan,nan,nan," Durini, Angeles"
824," Durini, Angeles",¿Quién le tiene miedo a Demetrio Latov?," Argentina : Ediciones SM, 2002 ; il. ; 150 p. ; 18 cm. ",ISBN : 978-987-573-000-7
825,¿Quién le tiene miedo a Demetrio Latov?," Argentina : Ediciones SM, 2002 ; il. ; 150 p. ; 18 cm. ",ISBN : 978-987-573-000-7,nan
826," Argentina : Ediciones SM, 2002 ; il. ; 150 p. ; 18 cm. ",ISBN : 978-987-573-000-7,nan,nan
827,ISBN : 978-987-573-000-7,nan,nan,nan
828,nan,nan,nan," Accarini, Franco"
829," Accarini, Franco",Otra forma de vida," Argentina : Ediciones SM, 2009 ; 133 p. ; 18 cm.",ISBN : 978-987-573-7
830,Otra forma de vida," Argentina : Ediciones SM, 2009 ; 133 p. ; 18 cm.",ISBN : 978-987-573-7,nan
831," Argentina : Ediciones SM, 2009 ; 133 p. ; 18 cm.",ISBN : 978-987-573-7,nan,nan
832,ISBN : 978-987-573-7,nan,nan,nan
833,nan,nan,nan," Kipling, Rudyard"
834," Kipling, Rudyard",El libro de la selva . Una versión para chicos," Argentina : Ed. Estrada, 2012 ; il. ; 101 p. 18 cm.",ISBN : 978-950-01-1408-0
835,El libro de la selva . Una versión para chicos," Argentina : Ed. Estrada, 2012 ; il. ; 101 p. 18 cm.",ISBN : 978-950-01-1408-0,nan
836," Argentina : Ed. Estrada, 2012 ; il. ; 101 p. 18 cm.",ISBN : 978-950-01-1408-0,nan,nan
837,ISBN : 978-950-01-1408-0,nan,nan,nan
838,nan,nan,nan," Roediger, Sandra Elisabet (adaptación)"
839," Roediger, Sandra Elisabet (adaptación)",Cuentos clásicos para pensar I," Argentina : Ed. Santa María, 2010 ; il. ; 94 p. ; 20 cm. ",ISBN : 978-987-616-037-7
840,Cuentos clásicos para pensar I," Argentina : Ed. Santa María, 2010 ; il. ; 94 p. ; 20 cm. ",ISBN : 978-987-616-037-7,nan
841," Argentina : Ed. Santa María, 2010 ; il. ; 94 p. ; 20 cm. ",ISBN : 978-987-616-037-7,nan,nan
842,ISBN : 978-987-616-037-7,nan,nan,nan
843,nan,nan,nan," Durini, Angeles y Otros"
844," Durini, Angeles y Otros",La katana perdida," Argentina : Editoria SM, 2011 ; 181 p. ; 18 cm.",ISBN : 978-987-573-670-2
845,La katana perdida," Argentina : Editoria SM, 2011 ; 181 p. ; 18 cm.",ISBN : 978-987-573-670-2,nan
846," Argentina : Editoria SM, 2011 ; 181 p. ; 18 cm.",ISBN : 978-987-573-670-2,nan,nan
847,ISBN : 978-987-573-670-2,nan,nan,nan
848,nan,nan,nan," Huidobro, Norma"
849," Huidobro, Norma","Octubre, un crimen"," Argentina : Editorial SM,2004 ; 201 p. ; 18 cm.",ISBN : 978-957-573-002-1
850,"Octubre, un crimen"," Argentina : Editorial SM,2004 ; 201 p. ; 18 cm.",ISBN : 978-957-573-002-1,nan
851," Argentina : Editorial SM,2004 ; 201 p. ; 18 cm.",ISBN : 978-957-573-002-1,nan,nan
852,ISBN : 978-957-573-002-1,nan,nan,nan
853,nan,nan,nan," Erbiti, Alejandra (Adaptación)"
854," Erbiti, Alejandra (Adaptación)",Simbad el marino," Uruguay : Ed. Latinbooks, 2010 ; il. ; 21 cm.",ISBN : 978-9974-8032-8-2
855,Simbad el marino," Uruguay : Ed. Latinbooks, 2010 ; il. ; 21 cm.",ISBN : 978-9974-8032-8-2,nan
856," Uruguay : Ed. Latinbooks, 2010 ; il. ; 21 cm.",ISBN : 978-9974-8032-8-2,nan,nan
